   1.000	   0.100	   0.000
   1.000	   0.000	   0.000
   1.000	   0.000	   0.000
   1.000	   0.000	   0.000
   1.000	   0.000	   0.000
   0.000	   1.000	   0.000
   0.000	   1.000	   0.000
   0.000	   1.000	   0.000
   0.000	   1.000	   0.000
   0.000	   1.000	   0.000
   -1.000	   0.000	   0.000
   -1.000	   0.000	   0.000
   -1.000	   0.000	   0.000
   -1.000	   0.000	   0.000
   -1.000	   0.000	   0.000
   0.000	   -1.000	   0.000
   0.000	   -1.000	   0.000
   0.000	   -1.000	   0.000
   0.000	   -1.000	   0.000
   0.000	   -1.000	   0.000
